,Type,Name
13955,Protein,
13961,Protein,
13977,Protein,
13979,Protein,
13980,Protein,
13986,Protein,
14001,Protein,
14004,Protein,
14015,Protein,
14018,Protein,
14033,Protein,
14037,Protein,
14044,Protein,
14047,Protein,
14049,Protein,
14050,Protein,
14057,Protein,
14062,Protein,
14081,Protein,
14087,Protein,
14088,Protein,
14099,Protein,
14113,Protein,
14141,Protein,
14146,Protein,
14148,Protein,
14150,Protein,
14152,Protein,
14177,Protein,
14178,Protein,
14180,Protein,
14185,Protein,
14188,Protein,
14201,Protein,
14216,Protein,
14218,Protein,
14226,Protein,
